widx,norm_widx,word,seg,lexstress,nseg,nsyll,nstress,pos,dep,m1,m2a,m2b,mean,norm_m1,norm_m2a,norm_m2b,norm_mean,sidx,sent,ambig_words,ambig_monosyll,contour
1,0.333333333333,Fellow,F EH1 L OW0,yes,4.0,2.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.5,0.5,0.5,0.5,1,Fellow Citizens :,0,0,2.0 1.0 nan
2,0.666666666667,Citizens,S IH1 T AH0 Z AH0 N Z,yes,8.0,3.0,1.0,NNPS,root,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Fellow Citizens :,0,0,2.0 1.0 nan
3,1.0,:,,???,,,,:,,,,,,,,,,1,Fellow Citizens :,0,0,2.0 1.0 nan
1,0.05,I,AY1,yes,1.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.75,0.75,0.75,0.75,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3,2.0 3.0 2.0 2.0 2.33333333333 2.66666666667 4.0 2.0 2.66666666667 3.0 2.0 3.0 2.0 4.0 2.0 2.66666666667 3.0 1.0 2.0 nan
2,0.1,AM,AE1 M,yes,2.0,1.0,1.0,NNP,nsubj,3.0,3.0,3.0,3.0,0.5,0.5,0.5,0.5,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3,2.0 3.0 2.0 2.0 2.33333333333 2.66666666667 4.0 2.0 2.66666666667 3.0 2.0 3.0 2.0 4.0 2.0 2.66666666667 3.0 1.0 2.0 nan
3,0.15,again,AH0 G EH1 N,yes,4.0,2.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,0.75,0.75,0.75,0.75,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3,2.0 3.0 2.0 2.0 2.33333333333 2.66666666667 4.0 2.0 2.66666666667 3.0 2.0 3.0 2.0 4.0 2.0 2.66666666667 3.0 1.0 2.0 nan
4,0.2,called,K AO1 L D,yes,4.0,1.0,1.0,VBD,root,2.0,2.0,2.0,2.0,0.75,0.75,0.75,0.75,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3,2.0 3.0 2.0 2.0 2.33333333333 2.66666666667 4.0 2.0 2.66666666667 3.0 2.0 3.0 2.0 4.0 2.0 2.66666666667 3.0 1.0 2.0 nan
5,0.25,upon,AH0 P AA1 N,ambig,4.0,2.0,1.0,IN,case,2.0,2.0,3.0,2.33333333333,0.75,0.75,0.5,0.666666666667,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3,2.0 3.0 2.0 2.0 2.33333333333 2.66666666667 4.0 2.0 2.66666666667 3.0 2.0 3.0 2.0 4.0 2.0 2.66666666667 3.0 1.0 2.0 nan
6,0.3,by,B AY1,ambig,2.0,1.0,1.0,IN,case,2.0,3.0,3.0,2.66666666667,0.75,0.5,0.5,0.583333333333,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3,2.0 3.0 2.0 2.0 2.33333333333 2.66666666667 4.0 2.0 2.66666666667 3.0 2.0 3.0 2.0 4.0 2.0 2.66666666667 3.0 1.0 2.0 nan
7,0.35,the,DH AH0,no,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,0.25,0.25,0.25,0.25,2,I AM again called upon by the voice of my country to execute the functions of its Chief Magistrate .,4,3,2.0 3.0 2.0 2.0 2.33333333333 2.66666666667 4.0 2.0 2.66666666667 3.0 2.0 3.0 2.0 4.0 2.0 2.66666666667 3.0 1.0 2.0 nan
