widx,norm_widx,word,seg,lexstress,nseg,nsyll,nstress,pos,dep,m1,m2a,m2b,mean,norm_m1,norm_m2a,norm_m2b,norm_mean,sidx,sent,ambig_words,ambig_monosyll,contour
1,0.25,Friends,F R EH1 N D Z,yes,6.0,1.0,1.0,NNPS,root,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,Friends and Fellow-Citizens :,0,0,2.0 3.0 1.0 nan
2,0.5,and,AE1 N D,no,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,Friends and Fellow-Citizens :,0,0,2.0 3.0 1.0 nan
3,0.75,Fellow-Citizens,,yes,,,,NNPS,conj:and,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Friends and Fellow-Citizens :,0,0,2.0 3.0 1.0 nan
4,1.0,:,,???,,,,:,,,,,,,,,,1,Friends and Fellow-Citizens :,0,0,2.0 3.0 1.0 nan
1,0.0111111111111,CALLED,K AO1 L D,yes,4.0,1.0,1.0,VBN,advcl,3.0,3.0,3.0,3.0,0.6,0.714285714286,0.714285714286,0.666666666667,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25,3.0 3.0 4.0 3.0 5.0 3.0 3.66666666667 5.0 4.0 3.0 4.0 3.66666666667 4.0 2.0 nan 3.33333333333 2.0 2.66666666667 3.66666666667 5.0 3.0 3.66666666667 4.66666666667 3.0 3.66666666667 4.0 2.0 4.33333333333 3.66666666667 3.0 3.0 4.0 3.0 5.0 4.0 3.0 3.66666666667 5.0 3.0 4.66666666667 5.0 4.33333333333 3.66666666667 3.66666666667 4.0 5.0 4.0 5.0 6.0 nan 5.0 4.0 5.0 4.0 3.0 3.66666666667 5.0 3.0 3.66666666667 3.33333333333 4.0 2.0 nan 3.0 2.66666666667 3.33333333333 2.0 4.0 2.66666666667 3.66666666667 4.0 5.0 3.0 2.0 3.33333333333 5.0 3.0 3.66666666667 5.0 3.0 4.0 5.0 3.0 3.66666666667 5.0 3.0 3.0 2.0 1.0 nan
2,0.0222222222222,upon,AH0 P AA1 N,yes,4.0,2.0,1.0,RB,advcl,3.0,3.0,3.0,3.0,0.6,0.714285714286,0.714285714286,0.666666666667,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25,3.0 3.0 4.0 3.0 5.0 3.0 3.66666666667 5.0 4.0 3.0 4.0 3.66666666667 4.0 2.0 nan 3.33333333333 2.0 2.66666666667 3.66666666667 5.0 3.0 3.66666666667 4.66666666667 3.0 3.66666666667 4.0 2.0 4.33333333333 3.66666666667 3.0 3.0 4.0 3.0 5.0 4.0 3.0 3.66666666667 5.0 3.0 4.66666666667 5.0 4.33333333333 3.66666666667 3.66666666667 4.0 5.0 4.0 5.0 6.0 nan 5.0 4.0 5.0 4.0 3.0 3.66666666667 5.0 3.0 3.66666666667 3.33333333333 4.0 2.0 nan 3.0 2.66666666667 3.33333333333 2.0 4.0 2.66666666667 3.66666666667 4.0 5.0 3.0 2.0 3.33333333333 5.0 3.0 3.66666666667 5.0 3.0 4.0 5.0 3.0 3.66666666667 5.0 3.0 3.0 2.0 1.0 nan
3,0.0333333333333,to,T UW1,no,2.0,1.0,1.0,TO,mark,4.0,4.0,4.0,4.0,0.4,0.571428571429,0.571428571429,0.5,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25,3.0 3.0 4.0 3.0 5.0 3.0 3.66666666667 5.0 4.0 3.0 4.0 3.66666666667 4.0 2.0 nan 3.33333333333 2.0 2.66666666667 3.66666666667 5.0 3.0 3.66666666667 4.66666666667 3.0 3.66666666667 4.0 2.0 4.33333333333 3.66666666667 3.0 3.0 4.0 3.0 5.0 4.0 3.0 3.66666666667 5.0 3.0 4.66666666667 5.0 4.33333333333 3.66666666667 3.66666666667 4.0 5.0 4.0 5.0 6.0 nan 5.0 4.0 5.0 4.0 3.0 3.66666666667 5.0 3.0 3.66666666667 3.33333333333 4.0 2.0 nan 3.0 2.66666666667 3.33333333333 2.0 4.0 2.66666666667 3.66666666667 4.0 5.0 3.0 2.0 3.33333333333 5.0 3.0 3.66666666667 5.0 3.0 4.0 5.0 3.0 3.66666666667 5.0 3.0 3.0 2.0 1.0 nan
4,0.0444444444444,undertake,AH1 N D ER0 T EY2 K,yes,7.0,3.0,2.0,VB,xcomp,3.0,3.0,3.0,3.0,0.6,0.714285714286,0.714285714286,0.666666666667,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25,3.0 3.0 4.0 3.0 5.0 3.0 3.66666666667 5.0 4.0 3.0 4.0 3.66666666667 4.0 2.0 nan 3.33333333333 2.0 2.66666666667 3.66666666667 5.0 3.0 3.66666666667 4.66666666667 3.0 3.66666666667 4.0 2.0 4.33333333333 3.66666666667 3.0 3.0 4.0 3.0 5.0 4.0 3.0 3.66666666667 5.0 3.0 4.66666666667 5.0 4.33333333333 3.66666666667 3.66666666667 4.0 5.0 4.0 5.0 6.0 nan 5.0 4.0 5.0 4.0 3.0 3.66666666667 5.0 3.0 3.66666666667 3.33333333333 4.0 2.0 nan 3.0 2.66666666667 3.33333333333 2.0 4.0 2.66666666667 3.66666666667 4.0 5.0 3.0 2.0 3.33333333333 5.0 3.0 3.66666666667 5.0 3.0 4.0 5.0 3.0 3.66666666667 5.0 3.0 3.0 2.0 1.0 nan
5,0.0555555555556,the,DH AH0,no,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,0.2,0.428571428571,0.428571428571,0.333333333333,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25,3.0 3.0 4.0 3.0 5.0 3.0 3.66666666667 5.0 4.0 3.0 4.0 3.66666666667 4.0 2.0 nan 3.33333333333 2.0 2.66666666667 3.66666666667 5.0 3.0 3.66666666667 4.66666666667 3.0 3.66666666667 4.0 2.0 4.33333333333 3.66666666667 3.0 3.0 4.0 3.0 5.0 4.0 3.0 3.66666666667 5.0 3.0 4.66666666667 5.0 4.33333333333 3.66666666667 3.66666666667 4.0 5.0 4.0 5.0 6.0 nan 5.0 4.0 5.0 4.0 3.0 3.66666666667 5.0 3.0 3.66666666667 3.33333333333 4.0 2.0 nan 3.0 2.66666666667 3.33333333333 2.0 4.0 2.66666666667 3.66666666667 4.0 5.0 3.0 2.0 3.33333333333 5.0 3.0 3.66666666667 5.0 3.0 4.0 5.0 3.0 3.66666666667 5.0 3.0 3.0 2.0 1.0 nan
6,0.0666666666667,duties,D UW1 T IY0 Z,yes,5.0,2.0,1.0,NNS,dobj,3.0,3.0,3.0,3.0,0.6,0.714285714286,0.714285714286,0.666666666667,2,"CALLED upon to undertake the duties of the first executive office of our country , I avail myself of the presence of that portion of my fellow-citizens which is here assembled to express my grateful thanks for the favor with which they have been pleased to look toward me , to declare a sincere consciousness that the task is above my talents , and that I approach it with those anxious and awful presentiments which the greatness of the charge and the weakness of my powers so justly inspire .",28,25,3.0 3.0 4.0 3.0 5.0 3.0 3.66666666667 5.0 4.0 3.0 4.0 3.66666666667 4.0 2.0 nan 3.33333333333 2.0 2.66666666667 3.66666666667 5.0 3.0 3.66666666667 4.66666666667 3.0 3.66666666667 4.0 2.0 4.33333333333 3.66666666667 3.0 3.0 4.0 3.0 5.0 4.0 3.0 3.66666666667 5.0 3.0 4.66666666667 5.0 4.33333333333 3.66666666667 3.66666666667 4.0 5.0 4.0 5.0 6.0 nan 5.0 4.0 5.0 4.0 3.0 3.66666666667 5.0 3.0 3.66666666667 3.33333333333 4.0 2.0 nan 3.0 2.66666666667 3.33333333333 2.0 4.0 2.66666666667 3.66666666667 4.0 5.0 3.0 2.0 3.33333333333 5.0 3.0 3.66666666667 5.0 3.0 4.0 5.0 3.0 3.66666666667 5.0 3.0 3.0 2.0 1.0 nan
