widx,norm_widx,word,seg,lexstress,nseg,nsyll,nstress,pos,dep,m1,m2a,m2b,mean,norm_m1,norm_m2a,norm_m2b,norm_mean,sidx,sent,ambig_words,ambig_monosyll,contour
1,0.0232558139535,Elected,IH0 L EH1 K T AH0 D,yes,7.0,3.0,1.0,VBN,advcl,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
2,0.046511627907,by,B AY1,ambig,2.0,1.0,1.0,IN,case,4.0,5.0,5.0,4.66666666667,0.4,0.2,0.2,0.266666666667,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
3,0.0697674418605,the,DH AH0,no,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,0.2,0.2,0.2,0.2,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
4,0.093023255814,American,AH0 M EH1 R AH0 K AH0 N,yes,8.0,4.0,1.0,JJ,amod,4.0,4.0,4.0,4.0,0.4,0.4,0.4,0.4,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
5,0.116279069767,people,P IY1 P AH0 L,yes,5.0,2.0,1.0,NNS,nmod:by,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
6,0.139534883721,to,T UW1,no,2.0,1.0,1.0,TO,case,4.0,4.0,4.0,4.0,0.4,0.4,0.4,0.4,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
7,0.162790697674,the,DH AH0,no,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,0.2,0.2,0.2,0.2,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
8,0.186046511628,highest,HH AY1 AH0 S T,yes,5.0,2.0,1.0,JJS,amod,4.0,4.0,4.0,4.0,0.4,0.4,0.4,0.4,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
9,0.209302325581,office,AO1 F AH0 S,yes,4.0,2.0,1.0,NN,nmod:to,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
10,0.232558139535,known,N OW1 N,yes,3.0,1.0,1.0,VBN,acl,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
11,0.255813953488,to,T UW1,no,2.0,1.0,1.0,TO,case,4.0,4.0,4.0,4.0,0.4,0.4,0.4,0.4,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
12,0.279069767442,our,AW1 ER0,no,2.0,2.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,0.4,0.4,0.4,0.4,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
13,0.302325581395,laws,L AO1 Z,yes,3.0,1.0,1.0,NNS,nmod:to,2.0,2.0,2.0,2.0,0.8,0.8,0.8,0.8,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
14,0.325581395349,",",,???,,,,",",,,,,,,,,,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
15,0.348837209302,I,AY1,ambig,1.0,1.0,1.0,PRP,nsubj,2.0,4.0,4.0,3.33333333333,0.8,0.4,0.4,0.533333333333,1,"Elected by the American people to the highest office known to our laws , I appear here to take the oath prescribed by the Constitution , and , in compliance with a time-honored custom , to address those who are now assembled .",8,8,3.0 4.66666666667 5.0 4.0 3.0 4.0 5.0 4.0 3.0 3.0 4.0 4.0 2.0 nan 3.33333333333 2.0 2.0 4.0 3.0 5.0 3.0 3.0 3.66666666667 4.0 2.0 nan 3.0 nan 3.66666666667 3.0 3.66666666667 4.0 3.0 2.0 nan 3.0 2.0 3.33333333333 3.33333333333 2.66666666667 2.0 1.0 nan
