widx,norm_widx,word,seg,lexstress,nseg,nsyll,nstress,pos,dep,m1,m2a,m2b,mean,norm_m1,norm_m2a,norm_m2b,norm_mean,sidx,sent,ambig_words,ambig_monosyll,contour
1,0.166666666667,Fellow-Citizens,,yes,,,,NNS,root,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,Fellow-Citizens of the United States :,1,1,2.0 2.66666666667 3.0 1.0 2.0 nan
2,0.333333333333,of,AH1 V,ambig,2.0,1.0,1.0,IN,case,2.0,3.0,3.0,2.66666666667,0.666666666667,0.333333333333,0.333333333333,0.444444444444,1,Fellow-Citizens of the United States :,1,1,2.0 2.66666666667 3.0 1.0 2.0 nan
3,0.5,the,DH AH0,no,2.0,1.0,0.0,DT,det,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,Fellow-Citizens of the United States :,1,1,2.0 2.66666666667 3.0 1.0 2.0 nan
4,0.666666666667,United,Y UW0 N AY1 T AH0 D,yes,7.0,3.0,1.0,NNP,compound,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Fellow-Citizens of the United States :,1,1,2.0 2.66666666667 3.0 1.0 2.0 nan
5,0.833333333333,States,S T EY1 T S,yes,5.0,1.0,1.0,NNPS,nmod:of,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,Fellow-Citizens of the United States :,1,1,2.0 2.66666666667 3.0 1.0 2.0 nan
6,1.0,:,,???,,,,:,,,,,,,,,,1,Fellow-Citizens of the United States :,1,1,2.0 2.66666666667 3.0 1.0 2.0 nan
1,0.0185185185185,In,IH0 N,ambig,2.0,1.0,0.0,IN,case,3.0,4.0,4.0,3.66666666667,0.666666666667,0.5,0.5,0.555555555556,2,"In compliance with a custom as old as the Government itself , I appear before you to address you briefly and to take in your presence the oath prescribed by the Constitution of the United States to be taken by the President `` before he enters on the execution of this office . ''",18,15,3.66666666667 3.0 3.66666666667 5.0 3.0 4.0 3.0 3.66666666667 4.66666666667 2.66666666667 3.0 nan 3.33333333333 3.0 3.33333333333 4.33333333333 5.0 4.0 5.33333333333 3.0 4.0 4.0 3.0 4.66666666667 5.0 3.0 5.0 3.0 3.0 4.66666666667 6.0 4.0 4.66666666667 5.0 3.0 4.0 4.0 3.66666666667 3.0 4.66666666667 5.0 3.0 3.0 3.33333333333 4.33333333333 3.0 3.66666666667 5.0 3.0 3.66666666667 3.66666666667 2.0 nan 1.0
2,0.037037037037,compliance,K AH0 M P L AY1 AH0 N S,yes,9.0,3.0,1.0,NN,nmod:in,3.0,3.0,3.0,3.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,2,"In compliance with a custom as old as the Government itself , I appear before you to address you briefly and to take in your presence the oath prescribed by the Constitution of the United States to be taken by the President `` before he enters on the execution of this office . ''",18,15,3.66666666667 3.0 3.66666666667 5.0 3.0 4.0 3.0 3.66666666667 4.66666666667 2.66666666667 3.0 nan 3.33333333333 3.0 3.33333333333 4.33333333333 5.0 4.0 5.33333333333 3.0 4.0 4.0 3.0 4.66666666667 5.0 3.0 5.0 3.0 3.0 4.66666666667 6.0 4.0 4.66666666667 5.0 3.0 4.0 4.0 3.66666666667 3.0 4.66666666667 5.0 3.0 3.0 3.33333333333 4.33333333333 3.0 3.66666666667 5.0 3.0 3.66666666667 3.66666666667 2.0 nan 1.0
3,0.0555555555556,with,W IH1 DH,ambig,3.0,1.0,1.0,IN,case,3.0,4.0,4.0,3.66666666667,0.666666666667,0.5,0.5,0.555555555556,2,"In compliance with a custom as old as the Government itself , I appear before you to address you briefly and to take in your presence the oath prescribed by the Constitution of the United States to be taken by the President `` before he enters on the execution of this office . ''",18,15,3.66666666667 3.0 3.66666666667 5.0 3.0 4.0 3.0 3.66666666667 4.66666666667 2.66666666667 3.0 nan 3.33333333333 3.0 3.33333333333 4.33333333333 5.0 4.0 5.33333333333 3.0 4.0 4.0 3.0 4.66666666667 5.0 3.0 5.0 3.0 3.0 4.66666666667 6.0 4.0 4.66666666667 5.0 3.0 4.0 4.0 3.66666666667 3.0 4.66666666667 5.0 3.0 3.0 3.33333333333 4.33333333333 3.0 3.66666666667 5.0 3.0 3.66666666667 3.66666666667 2.0 nan 1.0
4,0.0740740740741,a,AH0,no,1.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,2,"In compliance with a custom as old as the Government itself , I appear before you to address you briefly and to take in your presence the oath prescribed by the Constitution of the United States to be taken by the President `` before he enters on the execution of this office . ''",18,15,3.66666666667 3.0 3.66666666667 5.0 3.0 4.0 3.0 3.66666666667 4.66666666667 2.66666666667 3.0 nan 3.33333333333 3.0 3.33333333333 4.33333333333 5.0 4.0 5.33333333333 3.0 4.0 4.0 3.0 4.66666666667 5.0 3.0 5.0 3.0 3.0 4.66666666667 6.0 4.0 4.66666666667 5.0 3.0 4.0 4.0 3.66666666667 3.0 4.66666666667 5.0 3.0 3.0 3.33333333333 4.33333333333 3.0 3.66666666667 5.0 3.0 3.66666666667 3.66666666667 2.0 nan 1.0
