widx,norm_widx,word,seg,lexstress,nseg,nsyll,nstress,pos,dep,m1,m2a,m2b,mean,norm_m1,norm_m2a,norm_m2b,norm_mean,sidx,sent,ambig_words,ambig_monosyll,contour
1,0.166666666667,Citizens,S IH1 T AH0 Z AH0 N Z,yes,8.0,3.0,1.0,NNPS,root,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,Citizens of the United States :,1,1,2.0 2.66666666667 3.0 1.0 2.0 nan
2,0.333333333333,of,AH1 V,ambig,2.0,1.0,1.0,IN,case,2.0,3.0,3.0,2.66666666667,0.666666666667,0.333333333333,0.333333333333,0.444444444444,1,Citizens of the United States :,1,1,2.0 2.66666666667 3.0 1.0 2.0 nan
3,0.5,the,DH AH0,no,2.0,1.0,0.0,DT,det,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,Citizens of the United States :,1,1,2.0 2.66666666667 3.0 1.0 2.0 nan
4,0.666666666667,United,Y UW0 N AY1 T AH0 D,yes,7.0,3.0,1.0,NNP,compound,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,Citizens of the United States :,1,1,2.0 2.66666666667 3.0 1.0 2.0 nan
5,0.833333333333,States,S T EY1 T S,yes,5.0,1.0,1.0,NNPS,nmod:of,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,Citizens of the United States :,1,1,2.0 2.66666666667 3.0 1.0 2.0 nan
6,1.0,:,,???,,,,:,,,,,,,,,,1,Citizens of the United States :,1,1,2.0 2.66666666667 3.0 1.0 2.0 nan
1,0.0285714285714,Your,Y AO1 R,no,3.0,1.0,1.0,PRP$,nmod:poss,5.0,5.0,5.0,5.0,0.2,0.2,0.2,0.2,2,"Your suffrages having elected me to the office of President of the United States , I have , in conformity to the Constitution of our country , taken the oath of office prescribed therein .",9,8,5.0 3.0 3.33333333333 3.0 4.33333333333 4.0 5.0 3.0 3.66666666667 3.0 3.66666666667 4.0 2.0 3.0 nan 3.33333333333 2.66666666667 nan 3.66666666667 3.0 4.0 5.0 3.0 3.66666666667 4.0 2.0 nan 2.0 4.0 2.0 2.66666666667 2.0 2.0 1.0 nan
2,0.0571428571429,suffrages,,yes,,,,NNS,nsubj,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,2,"Your suffrages having elected me to the office of President of the United States , I have , in conformity to the Constitution of our country , taken the oath of office prescribed therein .",9,8,5.0 3.0 3.33333333333 3.0 4.33333333333 4.0 5.0 3.0 3.66666666667 3.0 3.66666666667 4.0 2.0 3.0 nan 3.33333333333 2.66666666667 nan 3.66666666667 3.0 4.0 5.0 3.0 3.66666666667 4.0 2.0 nan 2.0 4.0 2.0 2.66666666667 2.0 2.0 1.0 nan
3,0.0857142857143,having,HH AE1 V IH0 NG,ambig,5.0,2.0,1.0,VBG,aux,3.0,3.0,4.0,3.33333333333,0.6,0.6,0.4,0.533333333333,2,"Your suffrages having elected me to the office of President of the United States , I have , in conformity to the Constitution of our country , taken the oath of office prescribed therein .",9,8,5.0 3.0 3.33333333333 3.0 4.33333333333 4.0 5.0 3.0 3.66666666667 3.0 3.66666666667 4.0 2.0 3.0 nan 3.33333333333 2.66666666667 nan 3.66666666667 3.0 4.0 5.0 3.0 3.66666666667 4.0 2.0 nan 2.0 4.0 2.0 2.66666666667 2.0 2.0 1.0 nan
4,0.114285714286,elected,IH0 L EH1 K T AH0 D,yes,7.0,3.0,1.0,VBN,advcl,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,2,"Your suffrages having elected me to the office of President of the United States , I have , in conformity to the Constitution of our country , taken the oath of office prescribed therein .",9,8,5.0 3.0 3.33333333333 3.0 4.33333333333 4.0 5.0 3.0 3.66666666667 3.0 3.66666666667 4.0 2.0 3.0 nan 3.33333333333 2.66666666667 nan 3.66666666667 3.0 4.0 5.0 3.0 3.66666666667 4.0 2.0 nan 2.0 4.0 2.0 2.66666666667 2.0 2.0 1.0 nan
