widx,norm_widx,word,seg,lexstress,nseg,nsyll,nstress,pos,dep,m1,m2a,m2b,mean,norm_m1,norm_m2a,norm_m2b,norm_mean,sidx,sent,ambig_words,ambig_monosyll,contour
1,0.0909090909091,Mr.,M IH1 S T ER0,yes,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 1.0 nan
2,0.181818181818,Chief,CH IY1 F,yes,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 1.0 nan
3,0.272727272727,Justice,JH AH1 S T AH0 S,yes,6.0,2.0,1.0,NNP,root,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 1.0 nan
4,0.363636363636,",",,???,,,,",",,,,,,,,,,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 1.0 nan
5,0.454545454545,Mr.,M IH1 S T ER0,yes,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 1.0 nan
6,0.545454545455,Vice,V AY1 S,yes,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 1.0 nan
7,0.636363636364,President,P R EH1 Z AH0 D EH2 N T,yes,9.0,3.0,2.0,NNP,appos,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 1.0 nan
8,0.727272727273,",",,???,,,,",",,,,,,,,,,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 1.0 nan
9,0.818181818182,my,M AY1,no,2.0,1.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 1.0 nan
10,0.909090909091,friends,F R EH1 N D Z,yes,6.0,1.0,1.0,NNS,appos,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 1.0 nan
