widx,norm_widx,word,seg,lexstress,nseg,nsyll,nstress,pos,dep,m1,m2a,m2b,mean,norm_m1,norm_m2a,norm_m2b,norm_mean,sidx,sent,ambig_words,ambig_monosyll,contour
1,0.0285714285714,My,M AY1,no,2.0,1.0,1.0,PRP$,nmod:poss,5.0,5.0,5.0,5.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"My friends , before I begin the expression of those thoughts that I deem appropriate to this moment , would you permit me the privilege of uttering a little private prayer of my own .",12,11,5.0 3.0 nan 3.33333333333 4.33333333333 3.0 6.0 4.0 4.66666666667 4.66666666667 3.0 3.66666666667 4.33333333333 3.0 3.0 4.0 3.66666666667 2.0 nan 2.66666666667 3.33333333333 2.0 3.33333333333 4.0 2.0 2.66666666667 2.0 4.0 3.0 3.0 2.0 2.66666666667 3.0 1.0 nan
2,0.0571428571429,friends,F R EH1 N D Z,yes,6.0,1.0,1.0,NNS,nsubj,3.0,3.0,3.0,3.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"My friends , before I begin the expression of those thoughts that I deem appropriate to this moment , would you permit me the privilege of uttering a little private prayer of my own .",12,11,5.0 3.0 nan 3.33333333333 4.33333333333 3.0 6.0 4.0 4.66666666667 4.66666666667 3.0 3.66666666667 4.33333333333 3.0 3.0 4.0 3.66666666667 2.0 nan 2.66666666667 3.33333333333 2.0 3.33333333333 4.0 2.0 2.66666666667 2.0 4.0 3.0 3.0 2.0 2.66666666667 3.0 1.0 nan
3,0.0857142857143,",",,???,,,,",",,,,,,,,,,1,"My friends , before I begin the expression of those thoughts that I deem appropriate to this moment , would you permit me the privilege of uttering a little private prayer of my own .",12,11,5.0 3.0 nan 3.33333333333 4.33333333333 3.0 6.0 4.0 4.66666666667 4.66666666667 3.0 3.66666666667 4.33333333333 3.0 3.0 4.0 3.66666666667 2.0 nan 2.66666666667 3.33333333333 2.0 3.33333333333 4.0 2.0 2.66666666667 2.0 4.0 3.0 3.0 2.0 2.66666666667 3.0 1.0 nan
4,0.114285714286,before,B IH0 F AO1 R,ambig,5.0,2.0,1.0,IN,mark,3.0,3.0,4.0,3.33333333333,0.666666666667,0.666666666667,0.5,0.611111111111,1,"My friends , before I begin the expression of those thoughts that I deem appropriate to this moment , would you permit me the privilege of uttering a little private prayer of my own .",12,11,5.0 3.0 nan 3.33333333333 4.33333333333 3.0 6.0 4.0 4.66666666667 4.66666666667 3.0 3.66666666667 4.33333333333 3.0 3.0 4.0 3.66666666667 2.0 nan 2.66666666667 3.33333333333 2.0 3.33333333333 4.0 2.0 2.66666666667 2.0 4.0 3.0 3.0 2.0 2.66666666667 3.0 1.0 nan
5,0.142857142857,I,AY1,ambig,1.0,1.0,1.0,PRP,nsubj,3.0,5.0,5.0,4.33333333333,0.666666666667,0.333333333333,0.333333333333,0.444444444444,1,"My friends , before I begin the expression of those thoughts that I deem appropriate to this moment , would you permit me the privilege of uttering a little private prayer of my own .",12,11,5.0 3.0 nan 3.33333333333 4.33333333333 3.0 6.0 4.0 4.66666666667 4.66666666667 3.0 3.66666666667 4.33333333333 3.0 3.0 4.0 3.66666666667 2.0 nan 2.66666666667 3.33333333333 2.0 3.33333333333 4.0 2.0 2.66666666667 2.0 4.0 3.0 3.0 2.0 2.66666666667 3.0 1.0 nan
6,0.171428571429,begin,B IH0 G IH1 N,yes,5.0,2.0,1.0,VBP,acl,3.0,3.0,3.0,3.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"My friends , before I begin the expression of those thoughts that I deem appropriate to this moment , would you permit me the privilege of uttering a little private prayer of my own .",12,11,5.0 3.0 nan 3.33333333333 4.33333333333 3.0 6.0 4.0 4.66666666667 4.66666666667 3.0 3.66666666667 4.33333333333 3.0 3.0 4.0 3.66666666667 2.0 nan 2.66666666667 3.33333333333 2.0 3.33333333333 4.0 2.0 2.66666666667 2.0 4.0 3.0 3.0 2.0 2.66666666667 3.0 1.0 nan
7,0.2,the,DH AH0,no,2.0,1.0,0.0,DT,det,6.0,6.0,6.0,6.0,0.166666666667,0.166666666667,0.166666666667,0.166666666667,1,"My friends , before I begin the expression of those thoughts that I deem appropriate to this moment , would you permit me the privilege of uttering a little private prayer of my own .",12,11,5.0 3.0 nan 3.33333333333 4.33333333333 3.0 6.0 4.0 4.66666666667 4.66666666667 3.0 3.66666666667 4.33333333333 3.0 3.0 4.0 3.66666666667 2.0 nan 2.66666666667 3.33333333333 2.0 3.33333333333 4.0 2.0 2.66666666667 2.0 4.0 3.0 3.0 2.0 2.66666666667 3.0 1.0 nan
8,0.228571428571,expression,IH0 K S P R EH1 SH AH0 N,yes,9.0,3.0,1.0,NN,dobj,4.0,4.0,4.0,4.0,0.5,0.5,0.5,0.5,1,"My friends , before I begin the expression of those thoughts that I deem appropriate to this moment , would you permit me the privilege of uttering a little private prayer of my own .",12,11,5.0 3.0 nan 3.33333333333 4.33333333333 3.0 6.0 4.0 4.66666666667 4.66666666667 3.0 3.66666666667 4.33333333333 3.0 3.0 4.0 3.66666666667 2.0 nan 2.66666666667 3.33333333333 2.0 3.33333333333 4.0 2.0 2.66666666667 2.0 4.0 3.0 3.0 2.0 2.66666666667 3.0 1.0 nan
9,0.257142857143,of,AH1 V,ambig,2.0,1.0,1.0,IN,case,4.0,5.0,5.0,4.66666666667,0.5,0.333333333333,0.333333333333,0.388888888889,1,"My friends , before I begin the expression of those thoughts that I deem appropriate to this moment , would you permit me the privilege of uttering a little private prayer of my own .",12,11,5.0 3.0 nan 3.33333333333 4.33333333333 3.0 6.0 4.0 4.66666666667 4.66666666667 3.0 3.66666666667 4.33333333333 3.0 3.0 4.0 3.66666666667 2.0 nan 2.66666666667 3.33333333333 2.0 3.33333333333 4.0 2.0 2.66666666667 2.0 4.0 3.0 3.0 2.0 2.66666666667 3.0 1.0 nan
10,0.285714285714,those,DH OW1 Z,ambig,3.0,1.0,1.0,DT,det,4.0,5.0,5.0,4.66666666667,0.5,0.333333333333,0.333333333333,0.388888888889,1,"My friends , before I begin the expression of those thoughts that I deem appropriate to this moment , would you permit me the privilege of uttering a little private prayer of my own .",12,11,5.0 3.0 nan 3.33333333333 4.33333333333 3.0 6.0 4.0 4.66666666667 4.66666666667 3.0 3.66666666667 4.33333333333 3.0 3.0 4.0 3.66666666667 2.0 nan 2.66666666667 3.33333333333 2.0 3.33333333333 4.0 2.0 2.66666666667 2.0 4.0 3.0 3.0 2.0 2.66666666667 3.0 1.0 nan
