widx,norm_widx,word,seg,lexstress,nseg,nsyll,nstress,pos,dep,m1,m2a,m2b,mean,norm_m1,norm_m2a,norm_m2b,norm_mean,sidx,sent,ambig_words,ambig_monosyll,contour
1,0.0344827586207,Senator,S EH1 N AH0 T ER0,yes,6.0,3.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.8,0.8,0.8,0.8,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1,2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 5.0 4.0 3.0 4.0 3.0 2.0 2.66666666667 3.0 1.0 2.0 nan
2,0.0689655172414,Dirksen,D ER1 K S AH0 N,yes,6.0,2.0,1.0,NNP,root,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1,2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 5.0 4.0 3.0 4.0 3.0 2.0 2.66666666667 3.0 1.0 2.0 nan
3,0.103448275862,",",,???,,,,",",,,,,,,,,,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1,2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 5.0 4.0 3.0 4.0 3.0 2.0 2.66666666667 3.0 1.0 2.0 nan
4,0.137931034483,Mr.,M IH1 S T ER0,yes,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1,2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 5.0 4.0 3.0 4.0 3.0 2.0 2.66666666667 3.0 1.0 2.0 nan
5,0.172413793103,Chief,CH IY1 F,yes,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.8,0.8,0.8,0.8,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1,2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 5.0 4.0 3.0 4.0 3.0 2.0 2.66666666667 3.0 1.0 2.0 nan
6,0.206896551724,Justice,JH AH1 S T AH0 S,yes,6.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1,2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 5.0 4.0 3.0 4.0 3.0 2.0 2.66666666667 3.0 1.0 2.0 nan
7,0.241379310345,",",,???,,,,",",,,,,,,,,,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1,2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 5.0 4.0 3.0 4.0 3.0 2.0 2.66666666667 3.0 1.0 2.0 nan
8,0.275862068966,Mr.,M IH1 S T ER0,yes,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1,2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 5.0 4.0 3.0 4.0 3.0 2.0 2.66666666667 3.0 1.0 2.0 nan
9,0.310344827586,Vice,V AY1 S,yes,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.8,0.8,0.8,0.8,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1,2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 5.0 4.0 3.0 4.0 3.0 2.0 2.66666666667 3.0 1.0 2.0 nan
10,0.344827586207,president,P R EH1 Z AH0 D EH2 N T,yes,9.0,3.0,2.0,NN,appos,3.0,3.0,3.0,3.0,0.6,0.6,0.6,0.6,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1,2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 5.0 4.0 3.0 4.0 3.0 2.0 2.66666666667 3.0 1.0 2.0 nan
11,0.379310344828,",",,???,,,,",",,,,,,,,,,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1,2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 5.0 4.0 3.0 4.0 3.0 2.0 2.66666666667 3.0 1.0 2.0 nan
12,0.413793103448,President,P R EH1 Z AH0 D EH2 N T,yes,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,0.8,0.8,0.8,0.8,1,"Senator Dirksen , Mr. Chief Justice , Mr. Vice president , President Johnson , Vice president Humphrey , my fellow Americans-and my fellow citizens of the world community :",1,1,2.0 3.0 nan 3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 5.0 4.0 3.0 4.0 3.0 2.0 2.66666666667 3.0 1.0 2.0 nan
