widx,norm_widx,word,seg,lexstress,nseg,nsyll,nstress,pos,dep,m1,m2a,m2b,mean,norm_m1,norm_m2a,norm_m2b,norm_mean,sidx,sent,ambig_words,ambig_monosyll,contour
1,0.03125,Mr.,M IH1 S T ER0,yes,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
2,0.0625,Chief,CH IY1 F,yes,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
3,0.09375,Justice,JH AH1 S T AH0 S,yes,6.0,2.0,1.0,NNP,root,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
4,0.125,",",,???,,,,",",,,,,,,,,,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
5,0.15625,Mr.,M IH1 S T ER0,yes,5.0,2.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
6,0.1875,President,P R EH1 Z AH0 D EH2 N T,yes,9.0,3.0,2.0,NNP,appos,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
7,0.21875,",",,???,,,,",",,,,,,,,,,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
8,0.25,Vice,V AY1 S,yes,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
9,0.28125,President,P R EH1 Z AH0 D EH2 N T,yes,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
10,0.3125,Quayle,K W EY1 L,yes,4.0,1.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
11,0.34375,",",,???,,,,",",,,,,,,,,,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
12,0.375,Senator,S EH1 N AH0 T ER0,yes,6.0,3.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
13,0.40625,Mitchell,M IH1 CH AH0 L,yes,5.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
