widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3
1,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,4,0.00240818783865141,0.00826446280991736,0.0,5.67511147198606,0.25,26,0.000658511258009776,0.00244897959183673,0.0,7.24789232489679,0.912953506839346
2,Chairman,6.0,2.0,1.0,NNP,root,4.0,4.0,4.0,4.0,-3.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,1,0.000602046959662854,0.25,1.0,2.0,0.0,1,2.53273560772991e-05,0.0384615384615385,0.166666666666667,4.70043971814109,2.58496250072116
3,",",,,,",",,,,,,,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4
4,Mr.,5.0,2.0,1.0,NNP,compound,4.0,4.0,4.0,4.0,-3.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,4,0.00240818783865141,0.0260869565217391,1.0,5.67511147198606,0.25,26,0.000658511258009776,0.00884955752212389,1.0,7.24789232489679,0.912953506839346
5,Vice,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,1,0.000602046959662854,0.25,0.333333333333333,2.0,1.58496250072116,15,0.000379910341159486,0.192307692307692,0.15,6.44771117826004,1.59406561581121
6,President,9.0,3.0,2.0,NNP,appos,4.0,4.0,4.0,4.0,-3.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,1,0.000602046959662854,1.0,1.0,0.0,0.0,47,0.00119038573563306,1.0,1.0,4.29171711095481,0.949553055315634
7,",",,,,",",,,,,,,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4
8,Mr.,5.0,2.0,1.0,NNP,compound,4.0,4.0,4.0,4.0,-3.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,4,0.00240818783865141,0.0260869565217391,1.0,5.67511147198606,0.25,26,0.000658511258009776,0.00884955752212389,0.230769230769231,7.24789232489679,0.912953506839346
9,Chief,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,1,0.000602046959662854,0.25,0.333333333333333,2.0,1.58496250072116,12,0.000303928272927589,0.384615384615385,0.4,3.01548244364415,1.14544581337843
10,Justice,6.0,2.0,1.0,NNP,appos,4.0,4.0,4.0,4.0,-3.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,6,0.00361228175797712,1.0,1.0,1.72953508839809,0.38698801581456,40,0.00101309424309196,1.0,1.0,4.67659731134747,0.883502922381757
11,",",,,,",",,,,,,,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4
12,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,4,0.00240818783865141,0.0260869565217391,0.5,5.67511147198606,0.25,26,0.000658511258009776,0.00884955752212389,0.3125,7.24789232489679,0.912953506839346
13,Speaker,5.0,2.0,1.0,NNP,appos,4.0,4.0,4.0,4.0,-3.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,1,0.000602046959662854,0.25,0.333333333333333,2.0,1.58496250072116,8,0.000202618848618393,0.192307692307692,0.25,5.0704989732516,1.54024101186092
14,",",,,,",",,,,,,,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4
15,members,6.0,2.0,1.0,NNS,appos,4.0,4.0,4.0,4.0,-3.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,1,0.000602046959662854,0.00869565217391304,1.0,6.84549005094438,0.0,9,0.000227946204695692,0.00221238938053097,0.25,8.94766798075002,3.19959939544667
16,of,2.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,95,0.0571944611679711,1.0,1.0,0.597431227836054,0.0883401833976712,1691,0.0428285591267128,0.888888888888889,1.0,1.70240777240252,0.42749345896955
17,my,2.0,1.0,1.0,PRP$,nmod:poss,5.0,5.0,5.0,5.0,-4.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,4,0.00240818783865141,0.0210526315789474,1.0,4.49630031690157,0.0,93,0.00235544411518882,0.0065050266114725,0.25,6.39281972058669,1.63252477740595
18,family,6.0,3.0,1.0,NN,nmod:of,4.0,4.0,4.0,4.0,-3.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,1,0.000602046959662854,0.25,0.5,2.0,1.0,10,0.000253273560772991,0.032258064516129,0.181818181818182,7.56162980891388,1.90887882387169
19,and,3.0,1.0,1.0,CC,cc,5.0,5.0,5.0,5.0,-4.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,63,0.0379289584587598,1.0,1.0,1.55707485278873,0.24348968258547,1549,0.0392320745637363,0.3,0.666666666666667,2.60053892310722,0.707957414545442
20,friends,6.0,1.0,1.0,NNS,nmod:of,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,2,0.00120409391932571,0.0158730158730159,1.0,6.39872944295755,1.4036774610288,25,0.000633183901932477,0.00193673337637185,0.666666666666667,6.01583287202294,2.01378156197056
21,",",,,,",",,,,,,,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4
22,my,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,4,0.00240818783865141,0.00869565217391304,1.0,4.49630031690157,0.0,93,0.00235544411518882,0.00530973451327434,0.111111111111111,6.39281972058669,1.63252477740595
23,countrymen,9.0,3.0,1.0,NNS,appos,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,1,0.000602046959662854,0.25,1.0,2.0,0.0,5,0.000126636780386495,0.021505376344086,0.0833333333333333,5.98912409934906,2.98041848542114
24,",",,,,",",,,,,,,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4
25,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,63,0.0379289584587598,0.0521739130434783,1.0,1.55707485278873,0.24348968258547,1549,0.0392320745637363,0.119911504424779,1.0,2.60053892310722,0.707957414545442
26,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,113,0.0680313064419025,0.111111111111111,0.166666666666667,2.19508976806024,0.290748899896194,2261,0.0572651520907732,0.0806972240154939,0.0848708487084871,2.74917326769894,0.87789225295395
27,friends,6.0,1.0,1.0,NNS,conj:and,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,2,0.00120409391932571,0.00884955752212389,0.142857142857143,6.39872944295755,1.4036774610288,25,0.000633183901932477,0.000442282176028306,0.008,6.01583287202294,2.01378156197056
28,of,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,95,0.0571944611679711,0.5,1.0,0.597431227836054,0.0883401833976712,1691,0.0428285591267128,0.12,1.0,1.70240777240252,0.42749345896955
29,my,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,4,0.00240818783865141,0.0210526315789474,1.0,4.49630031690157,0.0,93,0.00235544411518882,0.0065050266114725,0.333333333333333,6.39281972058669,1.63252477740595
30,country,6.0,2.0,1.0,NN,nmod:of,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,1,0.000602046959662854,0.25,0.5,2.0,1.0,60,0.00151964136463795,0.021505376344086,0.181818181818182,5.36111113045047,2.78078124038788
31,wherever,6.0,3.0,1.0,WRB,advmod,4.0,4.0,2.0,4.0,-2.5,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,2,0.00120409391932571,1.0,1.0,2.16096404744368,1.29248125036058,4,0.000101309424309196,0.0166666666666667,0.5,7.36951701175593,4.51983213057287
32,they,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,7,0.00421432871763998,0.5,1.0,3.65231678517531,0.726780405892906,136,0.00344452042651268,0.25,1.0,5.57824358957613,1.18868298271841
33,may,2.0,1.0,1.0,MD,aux,3.0,3.0,2.0,3.0,-1.75,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,15,0.00903070439494281,0.428571428571429,1.0,2.69652246656813,0.422656666858975,57,0.00144365929640605,0.0220588235294118,1.0,5.67034317976264,1.96470755604634
34,be,2.0,1.0,1.0,VB,acl:relcl,1.0,1.0,1.0,1.0,0.0,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4,19,0.0114388922335942,0.2,0.333333333333333,1.49522069984917,0.228413158046559,280,0.00709165970164374,0.263157894736842,0.333333333333333,3.29448660046259,1.07957544730509
35,:,,,,:,,,,,,,1,"Mr. Chairman , Mr. Vice President , Mr. Chief Justice , Mr. Speaker , members of my family and friends , my countrymen , and the friends of my country wherever they may be :",5,4
1,We,2.0,1.0,1.0,PRP,nsubj,5.0,5.0,3.0,5.0,-3.5,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,51,0.0307043949428055,0.140495867768595,0.0,2.58712411265196,0.22568186282994,1021,0.0258592305549224,0.128163265306122,0.0,3.31849557808692,1.00709304700192
2,meet,3.0,1.0,1.0,VBP,root,3.0,3.0,3.0,3.0,-2.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,3,0.00180614087898856,0.0196078431372549,0.0588235294117647,3.7106189868696,1.69582094708345,27,0.000683838614087075,0.00685602350636631,0.00636942675159236,7.12144321373755,3.3690881223728
3,again,4.0,2.0,1.0,RB,advmod,3.0,3.0,3.0,3.0,-2.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,3,0.00180614087898856,0.333333333333333,1.0,2.52074747474036,0.861654166907052,35,0.000886457462705468,0.037037037037037,0.142857142857143,4.34291347773587,1.44992521422055
4,",",,,,",",,,,,,,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5
5,as,2.0,1.0,1.0,RB,advmod,3.0,3.0,3.0,3.0,-2.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,11,0.00662251655629139,0.0347826086956522,1.0,2.9178368837676,0.507723863701923,240,0.00607856545855178,0.0185840707964602,0.142857142857143,4.70152482952495,1.36514601342509
6,upon,4.0,2.0,1.0,IN,case,4.0,4.0,4.0,4.0,-3.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,6,0.00361228175797712,0.0909090909090909,0.25,1.88415361159695,0.597493750120193,52,0.00131702251601955,0.00416666666666667,0.0238095238095238,3.51363576610817,0.71246110406515
7,a,1.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,25,0.0150511739915713,0.166666666666667,1.0,2.86328816931055,0.37569269691115,789,0.019983283944989,0.0961538461538462,1.0,3.92641885050008,1.22415491206816
8,like,3.0,1.0,1.0,JJ,amod,4.0,4.0,4.0,4.0,-3.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,1,0.000602046959662854,0.04,1.0,4.64385618977472,0.0,21,0.000531874477623281,0.00126742712294043,0.2,6.41691574453954,1.91697434689907
9,moment,6.0,2.0,1.0,NN,nmod:upon,3.0,3.0,3.0,3.0,-2.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,1,0.000602046959662854,1.0,1.0,0.0,0.0,27,0.000683838614087075,0.0476190476190476,1.0,6.270833226367,2.66643918618006
10,four,3.0,1.0,1.0,CD,nummod,4.0,4.0,4.0,4.0,-3.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,1,0.000602046959662854,1.0,1.0,0.0,0.0,10,0.000253273560772991,0.037037037037037,1.0,6.72401081369589,2.05021480770576
11,years,4.0,1.0,1.0,NNS,nmod:npmod,3.0,3.0,3.0,3.0,-2.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,1,0.000602046959662854,1.0,1.0,0.0,0.0,55,0.00139300458425145,0.6,1.0,2.90429954536072,0.933574238953556
12,ago,3.0,2.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,-1.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,1,0.000602046959662854,1.0,1.0,0.0,0.0,22,0.00055720183370058,0.2,0.5,2.34477322367923,0.826544524328648
13,",",,,,",",,,,,,,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5
14,and,3.0,1.0,1.0,CC,cc,3.0,3.0,3.0,3.0,-2.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,63,0.0379289584587598,0.0521739130434783,1.0,1.55707485278873,0.24348968258547,1549,0.0392320745637363,0.119911504424779,0.230769230769231,2.60053892310722,0.707957414545442
15,again,4.0,2.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,-1.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,3,0.00180614087898856,0.0158730158730159,0.166666666666667,2.52074747474036,0.861654166907052,35,0.000886457462705468,0.00193673337637185,0.003690036900369,4.34291347773587,1.44992521422055
16,you,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,3,0.00180614087898856,0.333333333333333,1.0,2.34813137311948,0.0,115,0.0029126459488894,0.0285714285714286,0.333333333333333,4.91804664693393,1.1258857942651
17,have,3.0,1.0,1.0,VBP,aux,3.0,3.0,2.0,3.0,-1.75,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,3,0.00180614087898856,0.333333333333333,1.0,3.64327106155472,0.861654166907052,292,0.00739558797457133,0.11304347826087,1.0,3.80977694940257,2.02414628145526
18,witnessed,7.0,2.0,1.0,VBN,conj:and,2.0,2.0,2.0,2.0,-1.0,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,1,0.000602046959662854,0.333333333333333,1.0,1.58496250072116,0.0,4,0.000101309424309196,0.0136986301369863,0.153846153846154,6.18982455888002,3.70150522485463
19,my,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,5.0,4.0,-3.25,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,4,0.00240818783865141,1.0,1.0,4.49630031690157,0.0,93,0.00235544411518882,0.25,0.25,6.39281972058669,1.63252477740595
20,solemn,5.0,2.0,1.0,NN,compound,2.0,2.0,3.0,2.0,-1.25,2,"We meet again , as upon a like moment four years ago , and again you have witnessed my solemn oath of service to you .",6,5,2,0.00120409391932571,0.25,1.0,3.98863996174996,0.0,10,0.000253273560772991,0.021505376344086,1.0,7.68553637899174,1.69837061926594
