widx,norm_widx,word,seg,lexstress,nseg,nsyll,nstress,pos,dep,m1,m2a,m2b,mean,norm_m1,norm_m2a,norm_m2b,norm_mean,sidx,sent,ambig_words,ambig_monosyll,contour,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3,bigram,trigram
1,0.037037037037,Vice,V AY1 S,yes,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 1.0 nan,2,0.00145985401459854,0.0120481927710843,0.0,6.31148347239526,0.0,15,0.000379910341159486,0.00122448979591837,0.0,6.44771117826004,1.59406561581121,<s> vice,
2,0.0740740740741,President,P R EH1 Z AH0 D EH2 N T,yes,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 1.0 nan,4,0.00291970802919708,1.0,1.0,2.62396375672179,0.0,47,0.00119038573563306,1.0,1.0,4.29171711095481,0.949553055315634,vice president,<s> vice president
3,0.111111111111,Johnson,JH AA1 N S AH0 N,yes,6.0,2.0,1.0,NNP,root,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 1.0 nan,1,0.00072992700729927,0.25,0.5,2.0,1.0,2,5.06547121545982e-05,0.0425531914893617,0.0666666666666667,4.55458885167764,3.68316110712291,president johnson,vice president johnson
4,0.148148148148,",",,???,,,,",",,,,,,,,,,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 1.0 nan
5,0.185185185185,Mr.,M IH1 S T ER0,yes,5.0,2.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 1.0 nan,2,0.00145985401459854,0.0263157894736842,1.0,5.24792751344359,0.0,26,0.000658511258009776,0.00884955752212389,0.5,7.24789232489679,0.912953506839346,", mr.","johnson , mr."
6,0.222222222222,Speaker,S P IY1 K ER0,yes,5.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 1.0 nan,1,0.00072992700729927,0.5,0.5,1.0,1.0,8,0.000202618848618393,0.192307692307692,0.25,5.0704989732516,1.54024101186092,mr. speaker,", mr. speaker"
7,0.259259259259,",",,???,,,,",",,,,,,,,,,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 1.0 nan
8,0.296296296296,Mr.,M IH1 S T ER0,yes,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 1.0 nan,2,0.00145985401459854,0.0263157894736842,1.0,5.24792751344359,0.0,26,0.000658511258009776,0.00884955752212389,0.5,7.24789232489679,0.912953506839346,", mr.","speaker , mr."
9,0.333333333333,Chief,CH IY1 F,yes,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 1.0 nan,1,0.00072992700729927,0.5,0.5,1.0,1.0,12,0.000303928272927589,0.384615384615385,0.4,3.01548244364415,1.14544581337843,mr. chief,", mr. chief"
10,0.37037037037,Justice,JH AH1 S T AH0 S,yes,6.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Vice President Johnson , Mr. Speaker , Mr. Chief Justice , President Eisenhower , Vice president Nixon , President Truman , Reverend Clergy , fellow citizens :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 1.0 nan,1,0.00072992700729927,1.0,1.0,0.0,0.0,40,0.00101309424309196,1.0,1.0,4.67659731134747,0.883502922381757,chief justice,mr. chief justice
