widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3,bigram,trigram
1,My,2.0,1.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,1,My fellow countrymen :,0,0,3,0.00201342281879195,0.00892857142857143,0.0,5.72891109637629,1.52832083357372,93,0.00235544411518882,0.00775510204081633,0.0,6.39281972058669,1.63252477740595,<s> my,
2,fellow,4.0,2.0,1.0,JJ,amod,2.0,2.0,2.0,2.0,-1.0,1,My fellow countrymen :,0,0,4,0.00268456375838926,0.333333333333333,1.0,3.30357978020019,0.0,46,0.00116505837955576,0.290322580645161,0.578947368421053,4.15719332280918,1.54890416283712,my fellow,<s> my fellow
3,countrymen,9.0,3.0,1.0,NNS,root,1.0,1.0,1.0,1.0,0.0,1,My fellow countrymen :,0,0,1,0.000671140939597315,0.25,1.0,2.0,0.0,5,0.000126636780386495,0.0434782608695652,0.0740740740740741,5.98912409934906,2.98041848542114,fellow countrymen,my fellow countrymen
4,:,,,,:,,,,,,,1,My fellow countrymen :,0,0
1,On,2.0,1.0,1.0,IN,case,4.0,4.0,3.0,4.0,-2.75,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7,9,0.00604026845637584,0.00892857142857143,0.0,1.76371601250171,0.0,188,0.00476154294253223,0.00408163265306122,0.0,3.70286847089001,0.858145108750771,<s> on,
2,this,3.0,1.0,1.0,DT,det,4.0,4.0,3.0,4.0,-2.75,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7,19,0.012751677852349,0.111111111111111,1.0,2.92269704461696,0.297045062619722,323,0.00818073601296761,0.0797872340425532,0.4,4.74961945634651,1.34904796006705,on this,<s> on this
3,occasion,6.0,3.0,1.0,NN,nmod:on,2.0,2.0,2.0,2.0,-1.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7,1,0.000671140939597315,0.0526315789473684,1.0,4.24792751344359,0.0,4,0.000101309424309196,0.00619195046439629,0.0666666666666667,4.66769517734696,0.97672264890213,this occasion,on this occasion
4,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7,72,0.0483221476510067,1.0,1.0,2.25447828278002,0.330390496933931,2261,0.0572651520907732,0.25,0.5,2.74917326769894,0.87789225295395,occasion the,this occasion the
5,oath,2.0,1.0,1.0,NN,nsubj,3.0,3.0,3.0,3.0,-2.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7,1,0.000671140939597315,0.0138888888888889,1.0,6.16992500144231,0.0,22,0.00055720183370058,0.00442282176028306,1.0,6.04613835868365,1.64973112087933,the oath,occasion the oath
6,I,1.0,1.0,1.0,PRP,nsubj,5.0,5.0,3.0,5.0,-3.5,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7,15,0.0100671140939597,1.0,1.0,3.76820356617148,0.17233083338141,213,0.00539472684446471,0.227272727272727,0.4,5.1427819670081,1.29982848393134,oath i,the oath i
7,have,3.0,1.0,1.0,VBP,aux,4.0,4.0,3.0,4.0,-2.75,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7,18,0.0120805369127517,0.4,1.0,2.06719188500321,0.986142574249383,292,0.00739558797457133,0.0985915492957746,0.6,3.80977694940257,2.02414628145526,i have,oath i have
