widx,norm_widx,word,seg,lexstress,nseg,nsyll,nstress,pos,dep,m1,m2a,m2b,mean,norm_m1,norm_m2a,norm_m2b,norm_mean,sidx,sent,ambig_words,ambig_monosyll,contour,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3,bigram,trigram
1,0.03125,Mr.,M IH1 S T ER0,yes,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan,6,0.00256081946222791,0.00552486187845304,0.0,5.38620275115961,0.0,26,0.000658511258009776,0.00244897959183673,0.0,7.24789232489679,0.912953506839346,<s> mr.,
2,0.0625,Chief,CH IY1 F,yes,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan,1,0.000426803243704652,0.166666666666667,1.0,2.58496250072116,0.0,12,0.000303928272927589,0.384615384615385,0.333333333333333,3.01548244364415,1.14544581337843,mr. chief,<s> mr. chief
3,0.09375,Justice,JH AH1 S T AH0 S,yes,6.0,2.0,1.0,NNP,root,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan,2,0.000853606487409304,1.0,1.0,0.0,0.0,40,0.00101309424309196,1.0,1.0,4.67659731134747,0.883502922381757,chief justice,mr. chief justice
4,0.125,",",,???,,,,",",,,,,,,,,,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
5,0.15625,Mr.,M IH1 S T ER0,yes,5.0,2.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan,6,0.00256081946222791,0.032051282051282,1.0,5.38620275115961,0.0,26,0.000658511258009776,0.00884955752212389,0.3125,7.24789232489679,0.912953506839346,", mr.","justice , mr."
6,0.1875,President,P R EH1 Z AH0 D EH2 N T,yes,9.0,3.0,2.0,NNP,appos,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan,6,0.00256081946222791,0.166666666666667,0.2,3.77782506157719,0.817815099268086,47,0.00119038573563306,0.115384615384615,0.1,4.29171711095481,0.949553055315634,mr. president,", mr. president"
7,0.21875,",",,???,,,,",",,,,,,,,,,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan
8,0.25,Vice,V AY1 S,yes,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan,1,0.000426803243704652,0.00641025641025641,0.5,7.28540221886225,1.0,15,0.000379910341159486,0.00265486725663717,0.153846153846154,6.44771117826004,1.59406561581121,", vice","president , vice"
9,0.28125,President,P R EH1 Z AH0 D EH2 N T,yes,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,0.666666666667,0.666666666667,0.666666666667,0.666666666667,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan,6,0.00256081946222791,1.0,1.0,3.77782506157719,0.817815099268086,47,0.00119038573563306,1.0,1.0,4.29171711095481,0.949553055315634,vice president,", vice president"
10,0.3125,Quayle,K W EY1 L,yes,4.0,1.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,"Mr. Chief Justice , Mr. President , Vice President Quayle , Senator Mitchell , Speaker Wright , Senator Dole , Congressman Michel , and fellow citizens , neighbors , and friends :",0,0,3.0 2.0 3.0 nan 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 2.0 3.0 nan 3.0 3.0 2.0 nan 2.0 nan 3.0 1.0 nan,1,0.000426803243704652,0.166666666666667,1.0,2.58496250072116,0.0,1,2.53273560772991e-05,0.0212765957446809,0.0666666666666667,5.55458885167764,3.90689059560852,president quayle,vice president quayle
