widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3
1,My,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,2,0.0008302200083022,0.00763358778625954,0.0,4.3091927511293,0.0,93,0.00235544411518882,0.00775510204081633,0.0,6.39281972058669,1.63252477740595
2,fellow,4.0,2.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,1,0.0004151100041511,0.5,1.0,1.0,0.0,46,0.00116505837955576,0.290322580645161,0.578947368421053,4.15719332280918,1.54890416283712
3,citizens,8.0,3.0,1.0,NNS,nsubj,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,1,0.0004151100041511,1.0,1.0,0.0,0.0,58,0.00146898665248335,0.521739130434783,0.518518518518518,4.28908505169992,1.69844979736908
4,",",,,,",",,,,,,,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8
5,I,1.0,1.0,1.0,PRP,nsubj,5.0,5.0,3.0,5.0,-3.5,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,3,0.0012453300124533,0.00675675675675676,1.0,5.68341042974134,0.0,213,0.00539472684446471,0.0168141592920354,0.0714285714285714,5.1427819670081,1.29982848393134
6,stand,5.0,1.0,1.0,VBP,parataxis,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,2,0.0008302200083022,0.333333333333333,1.0,2.08496250072116,0.0,28,0.000709165970164374,0.0140845070422535,0.0263157894736842,6.73631127484509,2.95927607776394
7,here,3.0,1.0,1.0,RB,advmod,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,1,0.0004151100041511,0.5,1.0,1.0,0.0,42,0.00106374895524656,0.214285714285714,0.666666666666667,4.71807283623763,1.48721942072826
8,today,4.0,2.0,1.0,NN,nsubj,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,7,0.0029057700290577,1.0,1.0,1.65099785108492,0.0,83,0.00210217055441582,0.142857142857143,0.333333333333333,5.54192701933907,1.38317658918645
9,humbled,7.0,2.0,1.0,VBN,ccomp,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,1,0.0004151100041511,0.142857142857143,1.0,2.8073549220576,0.0,2,5.06547121545982e-05,0.0120481927710843,0.166666666666667,8.48608043006825,1.79248125036058
10,by,2.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,8,0.0033208800332088,1.0,1.0,0.0,0.0,221,0.0055973456930831,0.5,1.0,2.9913459476461,0.712673273225197
11,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,132,0.0547945205479452,0.25,1.0,2.23772426369185,0.238897371045777,2261,0.0572651520907732,0.194570135746606,1.0,2.74917326769894,0.87789225295395
12,task,4.0,1.0,1.0,NN,nmod:by,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,2,0.0008302200083022,0.00757575757575758,0.5,3.52219705967923,0.5,20,0.000506547121545982,0.00353825740822645,0.0232558139534884,6.42972431431947,2.48663453853378
13,before,5.0,2.0,1.0,IN,case,5.0,5.0,5.0,5.0,-4.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,4,0.0016604400166044,0.5,1.0,0.896240625180289,0.25,48,0.00121571309171036,0.1,0.125,4.05552458776665,0.864779640434486
14,us,2.0,1.0,1.0,PRP,nmod:before,6.0,6.0,3.0,6.0,-4.25,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,23,0.0095475300954753,0.75,1.0,1.37828608607749,0.130434782608696,279,0.00706633234556645,0.208333333333333,1.0,2.68557270048338,0.473209852665312
15,",",,,,",",,,,,,,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8
16,grateful,7.0,2.0,1.0,JJ,dep,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,1,0.0004151100041511,0.00675675675675676,0.125,7.20945336562895,3.0,4,0.000101309424309196,0.000442477876106195,0.03125,6.45259566666862,3.24144607116552
17,for,3.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,23,0.0095475300954753,1.0,1.0,3.17940347331405,0.224779347888796,447,0.0113213281665527,0.5,1.0,3.64882859033514,0.891151486830728
18,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,132,0.0547945205479452,0.130434782608696,1.0,2.23772426369185,0.238897371045777,2261,0.0572651520907732,0.181208053691275,1.0,2.74917326769894,0.87789225295395
19,trust,5.0,1.0,1.0,NN,nmod:for,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,2,0.0008302200083022,0.00757575757575758,0.333333333333333,3.52219705967923,0.792481250360578,14,0.000354582985082187,0.00221141088014153,0.0246913580246914,7.45106439920795,2.52324780320405
20,you,2.0,1.0,1.0,PRP,nsubj,5.0,5.0,3.0,5.0,-3.5,1,"My fellow citizens , I stand here today humbled by the task before us , grateful for the trust you have bestowed , mindful of the sacrifices borne by our ancestors .",9,8,14,0.0058115400581154,0.5,1.0,2.27904991996733,0.214285714285714,115,0.0029126459488894,0.0714285714285714,0.2,4.91804664693393,1.1258857942651
