widx,norm_widx,word,seg,lexstress,nseg,nsyll,nstress,pos,dep,m1,m2a,m2b,mean,norm_m1,norm_m2a,norm_m2b,norm_mean,sidx,sent,ambig_words,ambig_monosyll,contour,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3,bigram,trigram
1,0.333333333333,Thank,TH AE1 NG K,yes,4.0,1.0,1.0,VB,root,2.0,1.0,1.0,1.33333333333,0.5,1.0,1.0,1.0,1,Thank you .,1,1,1.33333333333 3.0 nan,3,0.00141376060320452,0.0247933884297521,0.0,5.33390073655344,0.0,22,0.00055720183370058,0.0036734693877551,0.0,7.5157267236846,1.90789391201207,<s> thank,
2,0.666666666667,you,Y UW1,ambig,2.0,1.0,1.0,PRP,dobj,1.0,4.0,4.0,3.0,1.0,0.25,0.25,0.375,1,Thank you .,1,1,1.33333333333 3.0 nan,7,0.00329877474081056,1.0,1.0,1.8339609249356,0.0,115,0.0029126459488894,0.681818181818182,1.0,4.91804664693393,1.1258857942651,thank you,<s> thank you
3,1.0,.,,???,,,,.,,,,,,,,,,1,Thank you .,1,1,1.33333333333 3.0 nan
1,0.2,Thank,TH AE1 NG K,yes,4.0,1.0,1.0,VB,root,2.0,2.0,2.0,2.0,0.5,0.75,0.75,0.7,2,Thank you so much .,1,1,2.0 3.33333333333 2.0 1.0 nan,3,0.00141376060320452,0.0247933884297521,0.0,5.33390073655344,0.0,22,0.00055720183370058,0.0036734693877551,0.0,7.5157267236846,1.90789391201207,<s> thank,
2,0.4,you,Y UW1,ambig,2.0,1.0,1.0,PRP,nsubj,2.0,4.0,4.0,3.33333333333,0.5,0.25,0.25,0.3,2,Thank you so much .,1,1,2.0 3.33333333333 2.0 1.0 nan,7,0.00329877474081056,1.0,1.0,1.8339609249356,0.0,115,0.0029126459488894,0.681818181818182,1.0,4.91804664693393,1.1258857942651,thank you,<s> thank you
3,0.6,so,S OW1,yes,2.0,1.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,0.5,0.75,0.75,0.7,2,Thank you so much .,1,1,2.0 3.33333333333 2.0 1.0 nan,7,0.00329877474081056,0.142857142857143,0.333333333333333,4.57005714384879,0.996754274785702,120,0.00303928272927589,0.00869565217391304,0.0666666666666667,5.82154915712896,1.59640377716947,you so,thank you so
4,0.8,much,M AH1 CH,yes,3.0,1.0,1.0,JJ,xcomp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,Thank you so much .,1,1,2.0 3.33333333333 2.0 1.0 nan,1,0.000471253534401508,0.142857142857143,1.0,2.8073549220576,0.0,27,0.000683838614087075,0.075,1.0,5.38310687630345,1.93491707183396,so much,you so much
5,1.0,.,,???,,,,.,,,,,,,,,,2,Thank you so much .,1,1,2.0 3.33333333333 2.0 1.0 nan
1,0.0454545454545,Vice,V AY1 S,yes,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,0.5,0.5,0.5,0.5,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 2.66666666667 4.0 3.0 2.0 3.0 nan 3.0 2.0 nan 3.0 2.0 1.0 nan,1,0.000471253534401508,0.00826446280991736,0.0,6.9188632372746,0.0,15,0.000379910341159486,0.00122448979591837,0.0,6.44771117826004,1.59406561581121,<s> vice,
2,0.0909090909091,President,P R EH1 Z AH0 D EH2 N T,yes,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,0.75,0.75,0.75,0.75,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 2.66666666667 4.0 3.0 2.0 3.0 nan 3.0 2.0 nan 3.0 2.0 1.0 nan,2,0.000942507068803016,1.0,1.0,2.60472668281448,0.0,47,0.00119038573563306,1.0,1.0,4.29171711095481,0.949553055315634,vice president,<s> vice president
3,0.136363636364,Biden,B AY1 D AH0 N,yes,5.0,2.0,1.0,NNP,root,3.0,3.0,3.0,3.0,0.5,0.5,0.5,0.5,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 2.66666666667 4.0 3.0 2.0 3.0 nan 3.0 2.0 nan 3.0 2.0 1.0 nan,1,0.000471253534401508,0.5,1.0,1.0,0.0,1,2.53273560772991e-05,0.0212765957446809,0.0666666666666667,5.55458885167764,3.90689059560852,president biden,vice president biden
4,0.181818181818,",",,???,,,,",",,,,,,,,,,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 2.66666666667 4.0 3.0 2.0 3.0 nan 3.0 2.0 nan 3.0 2.0 1.0 nan
5,0.227272727273,Mr.,M IH1 S T ER0,yes,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,0.5,0.5,0.5,0.5,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 2.66666666667 4.0 3.0 2.0 3.0 nan 3.0 2.0 nan 3.0 2.0 1.0 nan,1,0.000471253534401508,0.0101010101010101,1.0,6.62935662007961,0.0,26,0.000658511258009776,0.00884955752212389,1.0,7.24789232489679,0.912953506839346,", mr.","biden , mr."
6,0.272727272727,Chief,CH IY1 F,yes,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,0.75,0.75,0.75,0.75,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,3.0 2.0 3.0 nan 3.0 2.0 3.0 nan 2.0 2.66666666667 4.0 3.0 2.0 3.0 nan 3.0 2.0 nan 3.0 2.0 1.0 nan,1,0.000471253534401508,1.0,1.0,0.0,0.0,12,0.000303928272927589,0.384615384615385,0.4,3.01548244364415,1.14544581337843,mr. chief,", mr. chief"
